Plot,X,Y,Coord,Gr Ht,Hit,Spp,Stat,Ht
2,F,5,F5,28.5,3,LEDPAL,A,27
2,F,6,F6,32,3,LITTER,D,30
2,G,3,G3,36,3,MOSSPP,A,34
2,G,4,G4,35,3,ERIVAG,D,33
2,G,5,G5,36,3,MOSSPP,A,34
2,C,5,C5,28,4,MOSSPP,A,27
2,D,1,D1,38.5,4,MOSSPP,A,37
2,D,2,D2,35,4,LITTER,D,32.5
2,D,4,D4,29,4,LITTER,D,28
2,D,6,D6,31.5,4,MOSSPP,A,30.5
2,E,1,E1,37,4,MOSSPP,A,36
2,E,5,E5,29,4,LITTER,D,27
2,E,7,E7,30.5,4,MOSSPP,A,29
2,F,3,F3,33,4,LITTER,D,32
3,B,2,B2,35.5,1,ERIVAG,A,24
3,B,3,B3,31.5,1,ERIVAG,D,29
3,B,4,B4,30.5,1,ERIVAG,D,28
