Plot,X,Y,Coord,Gr Ht,Hit,Spp,Stat,Ht
7,C,4,C4,36.0,1,LEDPAL,D,32.0
7,C,5,C5,32.0,1,BETNAN,D,29.0
7,C,6,C6,31.5,1,ASHASH,O,31.0
7,C,7,C7,30.0,1,LITTER,D,29.0
7,C,8,C8,30.0,1,CARSPP,A,23.0
7,D,2,D2,38.0,1,BETNAN,D,35.0
7,D,3,D3,38.0,1,LITTER,D,37.0
7,D,4,D4,33.0,1,ERIVAG,D,32.0
7,D,5,D5,30.0,1,MOSSPP,D,29.0
7,D,6,D6,31.0,1,MOSSPP,D,30.0
7,D,7,D7,30.0,1,MOSSPP,A,28.0
7,D,8,D8,28.5,1,ASHASH,O,28.0
7,E,2,E2,39.0,1,BETNAN,D,35.0
7,E,3,E3,38.0,1,MOSSPP,D,37.0
7,E,4,E4,26.5,1,ERIVAG,D,26.0
7,E,5,E5,29.0,1,ERIVAG,D,26.0
7,E,6,E6,30.0,1,MOSSPP,D,29.0
7,E,7,E7,30.0,1,MOSSPP,D,29.0
7,E,8,E8,29.0,1,VACVIT,D,25.0
7,F,2,F2,39.0,1,BETNAN,D,34.0
7,F,3,F3,33.5,1,LITTER,D,33.0
7,F,4,F4,25.5,1,ERIVAG,D,25.0
7,F,5,F5,28.5,1,ERIVAG,D,28.0
7,F,7,F7,34.5,1,LITTER,D,34.0
7,G,2,G2,35.5,1,MOSSPP,D,35.0
7,G,3,G3,33.5,1,LITTER,D,33.0
7,G,4,G4,35.0,1,BARGRO,O,35.0
7,G,5,G5,32.0,1,MOSSPP,A,31.0
7,G,6,G6,33.5,1,LITTER,D,33.0
7,G,7,G7,32.5,1,LITTER,D,32.0
7,B,5,B5,33.0,2,MOSSPP,A,32.0
7,C,4,C4,36.0,2,MOSSPP,A,34.0
7,C,5,C5,32.0,2,MOSSPP,D,31.0
7,C,8,C8,30.0,2,MOSSPP,D,29.0
7,D,2,D2,38.0,2,LITTER,D,37.0
7,E,2,E2,39.0,2,LITTER,D,38.0
7,E,8,E8,29.0,2,MOSSPP,D,28.0
7,F,2,F2,39.0,2,BETNAN,D,36.0
7,F,2,F2,39.0,3,MOSSPP,D,38.0
8,B,2,B2,32.0,1,ASHASH,O,31.5
8,B,3,B3,31.0,1,ASHASH,O,30.0
8,B,4,B4,32.0,1,BETNAN,D,15.0
8,B,5,B5,32.0,1,LITTER,D,31.0
8,B,6,B6,34.0,1,LITTER,D,32.0
8,C,2,C2,29.5,1,ASHASH,O,28.0
8,C,3,C3,19.5,1,ERIVAG,D,19.0
8,C,4,C4,38.0,1,ASHASH,O,27.0
8,C,5,C5,39.0,1,ASHASH,O,38.0
8,C,6,C6,23.0,1,MOSSPP,A,22.0
8,C,7,C7,33.0,1,EMPNIG,A,30.0
8,D,2,D2,27.0,1,ASHASH,O,26.0
8,D,3,D3,19.0,1,ERIVAG,D,18.0
8,D,4,D4,27.5,1,ERIVAG,D,24.0
8,D,5,D5,31.0,1,ASHASH,O,30.0
8,D,6,D6,28.0,1,ASHASH,O,27.0
8,D,7,D7,30.0,1,MOSSPP,A,29.0
8,E,1,E1,29.0,1,ASHASH,O,28.0
8,E,2,E2,26.0,1,MOSSPP,D,25.0
8,E,3,E3,27.0,1,MOSSPP,D,26.0
8,E,4,E4,26.0,1,LITTER,D,23.0
8,E,5,E5,27.0,1,LEDPAL,A,20.0
8,E,6,E6,30.0,1,MOSSPP,D,29.0
8,E,7,E7,32.0,1,LITTER,D,31.0
8,F,2,F2,29.0,1,EMPNIG,D,20.0
8,F,3,F3,296.0,1,ASHASH,O,28.0
8,F,4,F4,30.0,1,MOSSPP,D,28.0
8,F,6,F6,30.5,1,LITTER,D,30.0
8,G,3,G3,26.5,1,LITTER,D,26.0
8,G,4,G4,23.0,1,ERIVAG,D,22.0
8,G,5,G5,32.0,1,LITTER,D,31.0
8,G,6,G6,29.5,1,LITTER,D,29.0
8,B,6,B6,34.0,2,MOSSPP,A,33.0
8,C,7,C7,33.0,2,MOSSPP,A,31.0
8,D,4,D4,27.5,2,ASHASH,O,27.0
8,E,4,E4,26.0,2,MOSSPP,D,24.0
8,E,5,E5,27.0,2,MOSSPP,D,26.0
8,F,2,F2,29.0,2,ASHASH,O,28.0
9,B,3,B3,40.0,1,MOSSPP,D,37.0
9,B,4,B4,42.0,1,ASHASH,O,41.0
9,B,5,B5,42.5,1,ASHASH,O,42.0
9,B,6,B6,45.0,1,ERIVAG,D,41.0
9,B,7,B7,44.0,1,LEDPAL,D,41.0
9,C,2,C2,38.0,1,MOSSPP,D,37.0
9,C,3,C3,37.5,1,ASHASH,O,37.0
9,C,4,C4,38.0,1,BARGRO,O,38.0
9,C,5,C5,37.0,1,ERIVAG,D,31.0
9,C,6,C6,37.5,1,ASHASH,O,37.0
9,C,7,C7,42.0,1,MOSSPP,A,41.0
9,D,2,D2,39.0,1,MOSSPP,A,38.0
9,D,3,D3,37.5,1,ASHASH,O,36.0
9,D,4,D4,29.5,1,ERIVAG,D,29.0
9,D,5,D5,30.0,1,VACVIT,D,28.0
9,D,6,D6,39.0,1,BARGRO,O,39.0
9,D,7,D7,43.0,1,MOSSPP,D,42.0
9,D,8,D8,31.0,1,LICHEN,A,30.0
9,E,2,E2,37.0,1,VACVIT,D,34.0
9,E,3,E3,34.0,1,ERIVAG,D,33.0
9,E,4,E4,35.0,1,ERIVAG,D,34.0
9,E,5,E5,29.0,1,ERIVAG,D,28.0
9,E,6,E6,42.0,1,BARGRO,O,42.0
9,E,7,E7,41.0,1,ASHASH,O,40.0
9,E,8,E8,42.0,1,MOSSPP,A,41.0
9,F,2,F2,38.0,1,VACVIT,D,36.0
9,F,3,F3,39.0,1,VACVIT,D,36.0
9,F,4,F4,39.0,1,LITTER,D,37.0
